robot_name,reference,type,year,cost_dollars,total_length_inm,leg_length_inm,min_mass_inkg,max_mass_inkg,average_mass_inkg,normal_speed_inmps,walking_speed_inmps,running_speed_inmps,DOF,payload_inkg,actuator_mass_inkg,accuator_count,highest_stall_torqueorforce_on_actuators_inNm,actuator_name,actuation_type,reported_COT,battery_life_hours,battery_wt_inkg,
Atlas HD,[1] https://robotsguide.com/robots/atlas2016 [2] https://bostondynamics.com/blog/ask-a-roboticist-qa-with-josh-a-mechanical-engineer-at-boston-dynamics,full biped,2016,"160,000",1.5,0.75,80,,80,1.5,,2.46,28,,,,,,"motors, hydraulics",,,,
Unitree G1,[1] https://www.unitree.com/g1,full biped,2024,"16,000",1.32,0.6,35,,35,2,,2,23,,,,90,,motors,,2,13 string lithium battery,
Unitree H1,[1] https://www.unitree.com/h1 [2] https://shop.unitree.com/products/unitree-h1,full biped,2024,"90,000",1.8,0.4,47,,47,3.3,,3.3,18,,1.9,,360,M107 PK International mainstream joint motor,motors,,2,,
Booster T1,"[1] https://www.boosterobotics.com/robots/ [2] https://www.generationrobots.com/blog/en/booster-t1-the-humanoid-development-platform-for-researchers-and-developers/#:~:text=The%20Booster%20T1%20consists%20of,waist%20level%20for%20natural%20rotation. [3] http://www.docs.bipedal.de/projects/t1/html/index.html [4] https://www.robotshop.com/products/booster-t1-humanoid-robot-standard",full biped,2024,"48,000",1.18,0.57,30,,30,0.5,0.5,,23,,,23,130,,motors,,2,13-string lithium battery,
Asimo,"[1] https://robotsguide.com/robots/asimo [2] https://hondanews.com/en-US/photos/running-asimo-5#:~:text=The%20new%20ASIMO%20is%20now,Download",full biped,2000,"1,300,000",1.3,0.65,48,,48,0.75,0.75,2.5,57,,,26,,,motors,,1,51.8V Li-ion battery,
Digit,"[1] https://robotsguide.com/robots/digit [2]  https://www.agilityrobotics.com/solution [3] https://xpert.digital/en/humanoid-work-robot-digit/#:~:text=Technical%20features%20and%20skills%20of%20Digit&text=The%20robot%20moves%20at%20an,the%20robot's%20quality%20of%20movement. [4] https://www.geekwire.com/2023/getting-to-know-digit-the-humanoid-robot-that-amazon-just-started-testing-for-warehouse-work/#:~:text=%E2%80%9CBecause%20it%20is%20made%20to,Clinkenbeard%2C%20Agility's%20VP%20of%20communications.",full biped,2019,<250000,1.75,1,65,,65,1.5,1.5,,16,16,,16,,,motors,,,1.2-kWh lithium-polymer battery pack,
NAO,[1] https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5152516,full biped,2009,"13,275",0.57,0.285,4.5,,4.5,0.167,0.167,,25,,,25,,"Maxon™ coreless brush DC motors (M1R11, M1R12, M2R21, M2R22)",motors,,,Lithium-ion 55Wh,
Berkeley Humanoid Lite,[1] https://berkeley-humanoid.com/,full biped,2024,,0.85,0.4,16,,16,0.6,0.6,,12,,,12,,,motors,,,DJI TB50,
Robotis OP3,[1] https://emanual.robotis.com/docs/en/platform/op3/introduction/ [2]  https://www.robotlab.com/store/darwin-op3-robot?srsltid=AfmBOooTQzU0RS424ZiPTFioZhScO8Wq21eRgViIB-DNkvts8LkNo96p [3] https://www.robotlab.com/leasing-darwin-op3?srsltid=AfmBOopgSNF7J_40x6rduJWo66nAIMqa-fp_SLM-g-UVPPBwhXj5bFFa,full biped,2025,"11,000",0.51,0.255,3.5,,3.5,0.24,0.24,,20,,0.082,20,,XM-430 DYNAMIXEL Protocol 2.0 servos,motors,,0.25,0.27,
CHARLI,[1] https://www.romela.org/charli-cognitive-humanoid-autonomous-robot-with-learning-intelligence/ [2] https://robotsguide.com/robots/charli,full biped,2011,,1.41,0.705,12.1,,12.1,3.44,0.39,,25,,,32,," Robotis Dynamixel RX-28, RX-64, EX-106 ",motors,,0.5,14.8-V lithium-polymer battery,
